id	lemma	part_of_speech	cefr_level	cefr_basis	cefr_source_id	frequency_band	frequency_basis	frequency_source_id	frequency_rank	provenance_ids	spelling_variants	status
master-a-determiner	a	determiner	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	56	cefrj-1.5,ngsl-gr-1.0		validated
master-about-adverb	about	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	87	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-about-preposition	about	preposition	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	87	cefrj-1.5,ngsl-gr-1.0		validated
master-above-adverb	above	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	490	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-above-preposition	above	preposition	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	490	cefrj-1.5,ngsl-gr-1.0		validated
master-action-noun	action	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	524	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-activity-noun	activity	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	482	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-actor-noun	actor	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1419	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-add-verb	add	verb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	464	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-address-noun	address	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	608	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
v32	advice	noun	A1	editorial-estimate		very-common	source-backed-rank	ngsl-gr-1.0	1090	cefrj-1.5,ngsl-gr-1.0,oewn-2025,vocabulary-core-2026-08		validated
master-afraid-adjective	afraid	adjective	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	1403	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-after-preposition	after	preposition	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	134	cefrj-1.5,ngsl-gr-1.0		validated
master-afternoon-noun	afternoon	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	998	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-again-adverb	again	adverb	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	225	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
master-age-noun	age	noun	A1	source-backed	cefrj-1.5	very-common	source-backed-rank	ngsl-gr-1.0	332	cefrj-1.5,ngsl-gr-1.0,oewn-2025		validated
